start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 series.py:4(<module>)
      107    0.002    0.000    0.027    0.000 _distn_infrastructure.py:622(_construct_argparser)
       11    0.000    0.000    0.026    0.002 artist.py:1508(kwdoc)
        1    0.000    0.000    0.026    0.026 request.py:68(<module>)
       57    0.000    0.000    0.025    0.000 {method 'send' of 'generator' objects}
       60    0.000    0.000    0.025    0.000 _core.py:1950(_fill_events_coro)
        2    0.000    0.000    0.025    0.013 base_registry.py:178(retrieve)
     1181    0.015    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:824(get_data)
        1    0.015    0.015    0.025    0.025 {pyFAI.ext._geometry.calc_r}
      675    0.000    0.000    0.025    0.000 inspect.py:2986(signature)
        2    0.000    0.000    0.025    0.012 core.py:62(retrieve)
        1    0.000    0.000    0.025    0.025 detectors.py:30(<module>)
        2    0.000    0.000    0.025    0.012 pdfgetter.py:70(__call__)
        2    0.000    0.000    0.024    0.012 shim.py:1(<module>)
      675    0.001    0.000    0.024    0.000 inspect.py:2734(from_callable)
        1    0.000    0.000    0.024    0.024 tools.py:365(integrate)
       16    0.000    0.000    0.024    0.002 transformation.py:123(__call__)
    23544    0.017    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        8    0.000    0.000    0.024    0.003 event_streams.py:1563(update)
26503/26500    0.023    0.000    0.024    0.000 {built-in method builtins.getattr}
       16    0.024    0.001    0.024    0.001 {built-in method posix.read}
        1    0.000    0.000    0.024    0.024 calibration.py:34(<module>)
        2    0.000    0.000    0.023    0.012 handlers.py:106(__call__)
     1208    0.011    0.000    0.023    0.000 inspect.py:2066(_signature_from_function)
        1    0.000    0.000    0.023    0.023 _version.py:477(get_versions)
        1    0.000    0.000    0.023    0.023 _version.py:216(git_pieces_from_vcs)
        4    0.000    0.000    0.022    0.006 _version.py:70(run_command)
        1    0.000    0.000    0.022    0.022 metrics.py:1(<module>)
       11    0.000    0.000    0.022    0.002 artist.py:1226(pprint_setters)
        1    0.000    0.000    0.022    0.022 __init__.py:168(<module>)
       24    0.000    0.000    0.022    0.001 __init__.py:1137(rc_params_from_file)
      324    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.022    0.011 metrics.py:12(_psutil_caller)
       11    0.000    0.000    0.022    0.002 subprocess.py:761(communicate)
        6    0.000    0.000    0.022    0.004 __init__.py:3(<module>)
        1    0.000    0.000    0.022    0.022 __init__.py:7(<module>)
        2    0.022    0.011    0.022    0.011 {built-in method numpy.core.multiarray.bincount}
     1192    0.021    0.000    0.021    0.000 {built-in method builtins.abs}
     1336    0.002    0.000    0.021    0.000 __init__.py:2563(_get_metadata)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
    19/18    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap>:630(_load_backward_compatible)
        1    0.000    0.000    0.021    0.021 collections.py:10(<module>)
      175    0.000    0.000    0.021    0.000 __init__.py:3046(<genexpr>)
     2049    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:163(__enter__)
      174    0.000    0.000    0.020    0.000 __init__.py:2568(activate)
        1    0.000    0.000    0.020    0.020 concurrent.py:23(<module>)
        4    0.000    0.000    0.020    0.005 event_streams.py:1599(update)
        1    0.000    0.000    0.019    0.019 event_streams.py:1605(<listcomp>)
        1    0.000    0.000    0.019    0.019 tools.py:395(fq_getter)
        1    0.000    0.000    0.019    0.019 function_base.py:3979(meshgrid)
    17060    0.011    0.000    0.019    0.000 version.py:114(_parse_version_parts)
      328    0.002    0.000    0.019    0.000 _util.py:259(getargspec_no_self)
        2    0.000    0.000    0.019    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.019    0.019 core.py:155(load_base_library)
        1    0.000    0.000    0.019    0.019 core.py:187(read_style_directory)
       13    0.019    0.001    0.019    0.001 {built-in method _posixsubprocess.fork_exec}
        6    0.000    0.000    0.019    0.003 __init__.py:35(load_module)
      598    0.019    0.000    0.019    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.019    0.006 machar.py:98(__init__)
       24    0.003    0.000    0.018    0.001 __init__.py:1060(_rc_params_in_file)
        3    0.005    0.002    0.018    0.006 machar.py:116(_do_init)
      531    0.001    0.000    0.018    0.000 decorators.py:181(__call__)
     2354    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:254(cache_from_source)
       11    0.003    0.000    0.018    0.002 artist.py:1145(_get_setters_and_targets)
     1455    0.002    0.000    0.018    0.000 __init__.py:909(__setitem__)
      566    0.002    0.000    0.018    0.000 textwrap.py:414(dedent)
      602    0.001    0.000    0.018    0.000 __init__.py:1376(safe_version)
        1    0.000    0.000    0.018    0.018 _axes.py:94(Axes)
       55    0.000    0.000    0.017    0.000 pyparsing.py:2738(__init__)
        1    0.000    0.000    0.017    0.017 utils.py:9(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:21(<module>)
        1    0.000    0.000    0.017    0.017 manage_plugins.py:17(<module>)
5675/1074    0.006    0.000    0.017    0.000 copy.py:137(deepcopy)
        1    0.000    0.000    0.016    0.016 run_engine.py:1(<module>)
      533    0.003    0.000    0.016    0.000 inspect.py:1051(getfullargspec)
       39    0.001    0.000    0.016    0.000 __init__.py:1696(param)
    22562    0.011    0.000    0.016    0.000 version.py:65(_compare)
   103433    0.015    0.000    0.016    0.000 sre_parse.py:242(match)
      807    0.003    0.000    0.016    0.000 functools.py:43(update_wrapper)
        2    0.000    0.000    0.016    0.008 tifffile.py:1383(asarray)
        2    0.000    0.000    0.016    0.008 tifffile.py:2313(asarray)
        2    0.000    0.000    0.016    0.008 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.016    0.016 backend_bases.py:33(<module>)
        1    0.016    0.016    0.016    0.016 function_base.py:4116(<listcomp>)
        6    0.016    0.003    0.016    0.003 {built-in method numpy.core.multiarray.concatenate}
        1    0.000    0.000    0.015    0.015 __init__.py:108(<module>)
     2528    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:406(cached)
        1    0.000    0.000    0.015    0.015 unix.py:119(get_localzone)
        1    0.000    0.000    0.015    0.015 unix.py:27(_get_localzone)
        1    0.000    0.000    0.015    0.015 matplotlib.py:31(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:126(timezone)
     2823    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
22865/22847    0.014    0.000    0.015    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.015    0.015 loader.py:2(<module>)
     3186    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      284    0.000    0.000    0.014    0.000 __init__.py:2065(_handle_ns)
        1    0.000    0.000    0.014    0.014 log.py:30(<module>)
        1    0.000    0.000    0.014    0.014 artist.py:1(<module>)
      244    0.002    0.000    0.014    0.000 sre_compile.py:412(_compile_info)
        1    0.000    0.000    0.014    0.014 parser.py:5(<module>)
        2    0.000    0.000    0.014    0.007 __init__.py:35(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:228(<module>)
72682/72429    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
      278    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:410(_find_module_shim)
        1    0.000    0.000    0.014    0.014 lazy.py:146(_lazy)
   202429    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
36113/36068    0.010    0.000    0.014    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.014    0.014 feedparser.py:20(<module>)
        1    0.000    0.000    0.014    0.014 lazy.py:93(_lazy)
      593    0.000    0.000    0.014    0.000 __init__.py:1087(<genexpr>)
       10    0.000    0.000    0.014    0.001 _methods.py:28(_amin)
  673/372    0.002    0.000    0.013    0.000 copy.py:239(_deepcopy_dict)
        1    0.000    0.000    0.013    0.013 connectionpool.py:1(<module>)
     1351    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
      592    0.001    0.000    0.013    0.000 __init__.py:100(resource_exists)
