start pipeline configuration
start mask
finished mask
         1911383 function calls (1882899 primitive calls) in 26.152 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 tifffile.py:1878(is_nih)
       12    0.000    0.000    0.000    0.000 event_streams.py:1344(<listcomp>)
        1    0.000    0.000    0.000    0.000 minidom.py:344(Attr)
        8    0.000    0.000    0.000    0.000 pyparsing.py:434(__len__)
        1    0.000    0.000    0.000    0.000 runtime.py:347(LoopContextBase)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4135(__ilshift__)
        1    0.000    0.000    0.000    0.000 info.py:154(<module>)
        1    0.000    0.000    0.000    0.000 internals.py:1605(ComplexBlock)
        1    0.000    0.000    0.000    0.000 enum.py:82(EnumMeta)
        1    0.000    0.000    0.000    0.000 <string>:5(pionice)
        1    0.000    0.000    0.000    0.000 connectionpool.py:97(HTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 _common.py:219(tzrangebase)
        1    0.000    0.000    0.000    0.000 message.py:946(MIMEPart)
        1    0.000    0.000    0.000    0.000 <string>:5(PointbiserialrResult)
        2    0.000    0.000    0.000    0.000 pdfconfig.py:742(_set_plot)
        1    0.000    0.000    0.000    0.000 <string>:5(DoneAndNotDoneFutures)
       12    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 functs.py:400(unique_everseen)
       17    0.000    0.000    0.000    0.000 nodes.py:747(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1434(NullProvider)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 massif.py:59(Massif)
        3    0.000    0.000    0.000    0.000 _version.py:33(get_config)
       12    0.000    0.000    0.000    0.000 enum.py:280(<genexpr>)
       11    0.000    0.000    0.000    0.000 case.py:111(skipUnless)
        1    0.000    0.000    0.000    0.000 lock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_relResult)
       33    0.000    0.000    0.000    0.000 tifffile.py:708(__init__)
        1    0.000    0.000    0.000    0.000 os.py:1046(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4393(reciprocal_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:53(kstwobign_gen)
        1    0.000    0.000    0.000    0.000 parser.py:190(parse_document_end)
        1    0.000    0.000    0.000    0.000 interpolate.py:325(interp1d)
        1    0.000    0.000    0.000    0.000 cbook.py:1311(Stack)
        1    0.000    0.000    0.000    0.000 subprocess.py:60(CalledProcessError)
       32    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:893(<genexpr>)
        2    0.000    0.000    0.000    0.000 sre_parse.py:931(expand_template)
        1    0.000    0.000    0.000    0.000 <string>:5(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 {built-in method itertools.tee}
        1    0.000    0.000    0.000    0.000 machines.py:269(_complete_meta_for_new_class)
        1    0.000    0.000    0.000    0.000 <string>:5(sbattery)
        1    0.000    0.000    0.000    0.000 coo.py:21(coo_matrix)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.000    0.000    0.000    0.000 handlers.py:518(Xspress3HDF5Handler)
        2    0.000    0.000    0.000    0.000 dis.py:383(findlinestarts)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:81(islambda)
        1    0.000    0.000    0.000    0.000 frequencies.py:735(_FrequencyInferer)
        1    0.000    0.000    0.000    0.000 common.py:50(TestCase)
        1    0.000    0.000    0.000    0.000 <string>:5(ModeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(MannwhitneyuResult)
        1    0.000    0.000    0.000    0.000 request.py:1495(CacheFTPHandler)
        1    0.000    0.000    0.000    0.000 textpath.py:27(TextToPath)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 dia.py:18(dia_matrix)
        2    0.000    0.000    0.000    0.000 locale.py:375(normalize)
        1    0.000    0.000    0.000    0.000 client.py:218(HTTPResponse)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:195(iinfo)
        1    0.000    0.000    0.000    0.000 tifffile.py:2439(FileHandle)
        1    0.000    0.000    0.000    0.000 core.py:6111(__new__)
        1    0.000    0.000    0.000    0.000 sslproto.py:294(_SSLProtocolTransport)
       37    0.000    0.000    0.000    0.000 functools.py:561(<listcomp>)
        1    0.000    0.000    0.000    0.000 transforms.py:2280(CompositeGenericTransform)
        1    0.000    0.000    0.000    0.000 parasite_axes.py:245(HostAxesBase)
        1    0.000    0.000    0.000    0.000 extras.py:1344(__init__)
        1    0.000    0.000    0.000    0.000 detectors.py:2162(RayonixMx300)
        1    0.000    0.000    0.000    0.000 cpuinfo.py:336(IRIXCPUInfo)
       46    0.000    0.000    0.000    0.000 threading.py:504(is_set)
        8    0.000    0.000    0.000    0.000 mathtext.py:1875(__init__)
        1    0.000    0.000    0.000    0.000 {h5py.h5z._register_lzf}
        7    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        9    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
       12    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _multivariate.py:208(multi_rv_frozen)
        1    0.000    0.000    0.000    0.000 threading.py:1102(is_alive)
        1    0.000    0.000    0.000    0.000 ElementTree.py:122(Element)
        1    0.000    0.000    0.000    0.000 groupby.py:2158(Grouping)
        2    0.000    0.000    0.000    0.000 config.py:476(deprecate_option)
        1    0.000    0.000    0.000    0.000 format.py:919(HTMLFormatter)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 arpack.py:968(IterOpInv)
        2    0.000    0.000    0.000    0.000 {built-in method fromordinal}
        1    0.000    0.000    0.000    0.000 <string>:5(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 frame.py:16(Frame)
        1    0.000    0.000    0.000    0.000 base_registry.py:431(RegistryTemplate)
        1    0.000    0.000    0.000    0.000 __init__.py:1331(Popen)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        2    0.000    0.000    0.000    0.000 pdfconfig.py:718(<listcomp>)
        1    0.000    0.000    0.000    0.000 fontconfig_pattern.py:36(FontconfigPatternParser)
        1    0.000    0.000    0.000    0.000 test_numexpr.py:876(test_zerodim)
       50    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 parsers.py:1369(CParserWrapper)
        1    0.000    0.000    0.000    0.000 series.py:286(_set_axis)
        1    0.000    0.000    0.000    0.000 <string>:5(PolarizationDescription)
        1    0.000    0.000    0.000    0.000 base.py:694(FrozenList)
        1    0.000    0.000    0.000    0.000 <string>:5(pgids)
        3    0.000    0.000    0.000    0.000 core.py:94(_cache_run_stop)
        1    0.000    0.000    0.000    0.000 optimize.py:53(MemoizeJac)
        1    0.000    0.000    0.000    0.000 _ode.py:694(vode)
       46    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sqlite.py:87(RegistryDatabase)
        4    0.000    0.000    0.000    0.000 pdfconfig.py:706(backgroundfile_find)
        3    0.000    0.000    0.000    0.000 __init__.py:1677(_zipinfo_name)
        2    0.000    0.000    0.000    0.000 posix.py:32(_set_nonblocking)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2705(__init__)
        6    0.000    0.000    0.000    0.000 _make.py:581(fmt_setter)
        1    0.000    0.000    0.000    0.000 gbq.py:144(GbqConnector)
        1    0.000    0.000    0.000    0.000 minidom.py:661(Element)
        1    0.000    0.000    0.000    0.000 shim.py:20(EventSourceShim)
        9    0.000    0.000    0.000    0.000 rcsetup.py:301(__init__)
        1    0.000    0.000    0.000    0.000 reader.py:138(check_printable)
        1    0.000    0.000    0.000    0.000 ops.py:277(_Op)
       30    0.000    0.000    0.000    0.000 version.py:248(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:5(puids)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data.py:21(_data_matrix)
        2    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 tifffile.py:1873(is_micromanager)
       12    0.000    0.000    0.000    0.000 core.py:106(<listcomp>)
        1    0.000    0.000    0.000    0.000 <string>:5(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KendalltauResult)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3842(nct_gen)
        1    0.000    0.000    0.000    0.000 coroutines.py:87(CoroWrapper)
        1    0.000    0.000    0.000    0.000 nodes.py:107(Node)
        1    0.000    0.000    0.000    0.000 transforms.py:1803(Affine2D)
        1    0.000    0.000    0.000    0.000 iostream.py:1213(SSLIOStream)
        1    0.000    0.000    0.000    0.000 fitpack2.py:70(UnivariateSpline)
        4    0.000    0.000    0.000    0.000 pdfconfig.py:950(_cut_to_none)
        1    0.000    0.000    0.000    0.000 axes_size.py:198(MaxHeight)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3674(ParseElementEnhance)
       16    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
       12    0.000    0.000    0.000    0.000 _format.py:50(_checks)
        1    0.000    0.000    0.000    0.000 requirements.py:54(<lambda>)
        1    0.000    0.000    0.000    0.000 cookies.py:28(MockRequest)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        2    0.000    0.000    0.000    0.000 typing.py:264(__init__)
        1    0.000    0.000    0.000    0.000 cacheutils.py:499(CachedMethod)
        1    0.000    0.000    0.000    0.000 excel.py:883(_Openpyxl20Writer)
        1    0.000    0.000    0.000    0.000 transforms.py:2077(BlendedGenericTransform)
       12    0.000    0.000    0.000    0.000 period.py:48(_field_accessor)
        1    0.000    0.000    0.000    0.000 _slicerator_version.py:7(<module>)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:204(<genexpr>)
        1    0.000    0.000    0.000    0.000 run_engine.py:2074(Dispatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:2869(Requirement)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 loader.py:76(__init__)
        2    0.000    0.000    0.000    0.000 six.py:157(_SixMetaPathImporter)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2797(QuotedString)
        1    0.000    0.000    0.000    0.000 csc.py:20(csc_matrix)
        5    0.000    0.000    0.000    0.000 rcsetup.py:517(validate_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:625(WorkingSet)
        1    0.000    0.000    0.000    0.000 dev_utils.py:1(<module>)
        3    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
        1    0.000    0.000    0.000    0.000 ascii_upper.py:24(<module>)
        1    0.000    0.000    0.000    0.000 image.py:954(PcolorImage)
        4    0.000    0.000    0.000    0.000 rcsetup.py:561(validate_corner_mask)
        4    0.000    0.000    0.000    0.000 __init__.py:800(acquire)
        4    0.000    0.000    0.000    0.000 weakref.py:356(remove)
        1    0.000    0.000    0.000    0.000 scope.py:78(Scope)
        1    0.000    0.000    0.000    0.000 configparser.py:1213(SectionProxy)
        1    0.000    0.000    0.000    0.000 mathtext.py:1616(Hlist)
        5    0.000    0.000    0.000    0.000 __init__.py:1252(setLevel)
        1    0.000    0.000    0.000    0.000 _pslinux.py:684(__init__)
        1    0.000    0.000    0.000    0.000 geometry.py:1958(set_pixel1)
        1    0.000    0.000    0.000    0.000 <string>:5(SkewtestResult)
        1    0.000    0.000    0.000    0.000 detectors.py:2096(RayonixLx255)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2398(Keyword)
        1    0.000    0.000    0.000    0.000 tifffile.py:333(TiffWriter)
        1    0.000    0.000    0.000    0.000 ipaddress.py:385(_IPAddressBase)
       21    0.000    0.000    0.000    0.000 case.py:103(skipIf)
        2    0.000    0.000    0.000    0.000 transformbackground.py:105(ybga)
        1    0.000    0.000    0.000    0.000 pyparsing.py:670(_asStringList)
        1    0.000    0.000    0.000    0.000 mongoquery.py:64(_CollectionMixin)
        1    0.000    0.000    0.000    0.000 case.py:274(_CapturingHandler)
       13    0.000    0.000    0.000    0.000 blas.py:206(<listcomp>)
        1    0.000    0.000    0.000    0.000 functools.py:645(<listcomp>)
        1    0.000    0.000    0.000    0.000 slicerator.py:177(SliceratorSubclass)
        1    0.000    0.000    0.000    0.000 dtypes.py:113(__new__)
        1    0.000    0.000    0.000    0.000 process.py:194(Subprocess)
        1    0.000    0.000    0.000    0.000 html.py:147(_HtmlFrameParser)
       10    0.000    0.000    0.000    0.000 utils.py:185(_check_if_already_proper)
        1    0.000    0.000    0.000    0.000 <string>:5(pctxsw)
        1    0.000    0.000    0.000    0.000 plistlib.py:312(_PlistParser)
        1    0.000    0.000    0.000    0.000 ioloop.py:251(initialize)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        1    0.000    0.000    0.000    0.000 __init__.py:1557(LoggerAdapter)
        3    0.000    0.000    0.000    0.000 dtypes.py:132(construct_from_string)
        1    0.000    0.000    0.000    0.000 constructor.py:13(BaseConstructor)
        1    0.000    0.000    0.000    0.000 __init__.py:22(Query)
        1    0.000    0.000    0.000    0.000 legend_handler.py:393(__init__)
        1    0.000    0.000    0.000    0.000 tz.py:35(tzutc)
        1    0.000    0.000    0.000    0.000 netutil.py:403(ThreadedResolver)
        2    0.000    0.000    0.000    0.000 util.py:66(find_spec)
        1    0.000    0.000    0.000    0.000 internals.py:2325(DatetimeTZBlock)
        1    0.000    0.000    0.000    0.000 rrule.py:1388(_rrulestr)
       16    0.000    0.000    0.000    0.000 base.py:3556(_make_evaluate_unary)
        2    0.000    0.000    0.000    0.000 transformqatoqa.py:36(checkConfig)
        1    0.000    0.000    0.000    0.000 axis.py:488(YTick)
        1    0.000    0.000    0.000    0.000 merge.py:476(_MergeOperation)
        1    0.000    0.000    0.000    0.000 qtproxies.py:428(QTableWidget)
        1    0.000    0.000    0.000    0.000 nonlin.py:1182(DiagBroyden)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty_like}
        1    0.000    0.000    0.000    0.000 test_numexpr.py:44(test_numexpr)
        2    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
        1    0.000    0.000    0.000    0.000 decorator.py:84(FunctionMaker)
        1    0.000    0.000    0.000    0.000 calendar.py:67(_localized_day)
        1    0.000    0.000    0.000    0.000 interpolate.py:1218(BPoly)
        1    0.000    0.000    0.000    0.000 parsers.py:1020(ParserBase)
        1    0.000    0.000    0.000    0.000 tifffile.py:208(TiffWriter)
        1    0.000    0.000    0.000    0.000 image_sequence.py:34(ImageSequence)
        1    0.000    0.000    0.000    0.000 request.py:2051(FancyURLopener)
        7    0.000    0.000    0.000    0.000 config.py:781(inner)
        7    0.000    0.000    0.000    0.000 case.py:119(expectedFailure)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        2    0.000    0.000    0.000    0.000 range.py:60(_ensure_int)
        1    0.000    0.000    0.000    0.000 <string>:5(KstestResult)
        1    0.000    0.000    0.000    0.000 transforms.py:1130(Transform)
       55    0.000    0.000    0.000    0.000 __init__.py:231(u_safe)
        1    0.000    0.000    0.000    0.000 offsetbox.py:577(DrawingArea)
        2    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:759(SubplotToolQt)
        1    0.000    0.000    0.000    0.000 _subplots.py:16(SubplotBase)
        1    0.000    0.000    0.000    0.000 <string>:5(KruskalResult)
       12    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       22    0.000    0.000    0.000    0.000 decorator.py:219(<genexpr>)
        1    0.000    0.000    0.000    0.000 sql.py:538(SQLTable)
        8    0.000    0.000    0.000    0.000 zipfile.py:1196(getinfo)
        1    0.000    0.000    0.000    0.000 mathtext.py:554(TruetypeFonts)
        1    0.000    0.000    0.000    0.000 _make.py:716(Attribute)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:95(NpzFile)
        1    0.000    0.000    0.000    0.000 sift.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:3836(AppendableTable)
        8    0.000    0.000    0.000    0.000 zipfile.py:436(_decodeExtra)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        3    0.000    0.000    0.000    0.000 six.py:173(__init__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:24(Cursors)
        1    0.000    0.000    0.000    0.000 cbook.py:1641(Grouper)
        1    0.000    0.000    0.000    0.000 core.py:6289(__init__)
        2    0.000    0.000    0.000    0.000 event_streams.py:1361(<dictcomp>)
       24    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 internals.py:2051(CategoricalBlock)
        8    0.000    0.000    0.000    0.000 base.py:142(_join_i8_wrapper)
        7    0.000    0.000    0.000    0.000 nanops.py:64(__init__)
        1    0.000    0.000    0.000    0.000 runtime.py:454(Macro)
        1    0.000    0.000    0.000    0.000 configparser.py:295(ParsingError)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1453(__init__)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 calibrant.py:575(CalibrantFactory)
        2    0.000    0.000    0.000    0.000 __init__.py:380(usesTime)
       12    0.000    0.000    0.000    0.000 delayed.py:294(right)
        1    0.000    0.000    0.000    0.000 difflib.py:1703(HtmlDiff)
       19    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
       35    0.000    0.000    0.000    0.000 functoolz.py:15(identity)
        1    0.000    0.000    0.000    0.000 client.py:1222(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 copy.py:125(_copy_with_constructor)
        1    0.000    0.000    0.000    0.000 transforms.py:1534(TransformWrapper)
        1    0.000    0.000    0.000    0.000 plm.py:497(MovingPanelOLS)
        1    0.000    0.000    0.000    0.000 machines.py:253(_set_up_config_getter)
        1    0.000    0.000    0.000    0.000 specifiers.py:589(SpecifierSet)
        1    0.000    0.000    0.000    0.000 plotting.py:261(__setitem__)
        1    0.000    0.000    0.000    0.000 units.py:256(to_unit)
        1    0.000    0.000    0.000    0.000 pathlib.py:126(<setcomp>)
        1    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        1    0.000    0.000    0.000    0.000 test_numexpr.py:679(test_int32_int64)
        1    0.000    0.000    0.000    0.000 calibration.py:2163(CheckCalib)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(ZipProvider)
        1    0.000    0.000    0.000    0.000 series.py:322(name)
        1    0.000    0.000    0.000    0.000 cine.py:186(<listcomp>)
        1    0.000    0.000    0.000    0.000 index_tricks.py:447(__init__)
       15    0.000    0.000    0.000    0.000 six.py:181(_get_module)
        3    0.000    0.000    0.000    0.000 typing.py:1158(<genexpr>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:870(validate_hist_bins)
        1    0.000    0.000    0.000    0.000 geo.py:379(InvertedHammerTransform)
        2    0.000    0.000    0.000    0.000 __init__.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 minicompat.py:50(NodeList)
        1    0.000    0.000    0.000    0.000 relativedelta.py:13(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:324(wrap)
        3    0.000    0.000    0.000    0.000 sre_parse.py:278(seek)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        2    0.000    0.000    0.000    0.000 process.py:35(current_process)
        8    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        2    0.000    0.000    0.000    0.000 mlab.py:3003(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:1580(ToolHandles)
        1    0.000    0.000    0.000    0.000 __init__.py:116(lrange)
        1    0.000    0.000    0.000    0.000 runner.py:120(TextTestRunner)
        7    0.000    0.000    0.000    0.000 utils.py:73(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat.py:10(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:79(DictReader)
        1    0.000    0.000    0.000    0.000 colorbar.py:299(ColorbarBase)
        1    0.000    0.000    0.000    0.000 __init__.py:753(Handler)
        1    0.000    0.000    0.000    0.000 quiver.py:890(Barbs)
        1    0.000    0.000    0.000    0.000 <string>:5(F_onewayResult)
        9    0.000    0.000    0.000    0.000 sqlite.py:198(config)
        1    0.000    0.000    0.000    0.000 <string>:5(popenfile)
        1    0.000    0.000    0.000    0.000 minidom.py:34(Node)
        1    0.000    0.000    0.000    0.000 offsets.py:590(__init__)
        1    0.000    0.000    0.000    0.000 function_base.py:4099(<listcomp>)
        1    0.000    0.000    0.000    0.000 util.py:241(Configurable)
        1    0.000    0.000    0.000    0.000 filesize.py:4(<module>)
        1    0.000    0.000    0.000    0.000 context.py:294(_check_available)
       33    0.000    0.000    0.000    0.000 cm.py:28(_reverser)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        5    0.000    0.000    0.000    0.000 <string>:12(__new__)
        6    0.000    0.000    0.000    0.000 patches.py:1792(<listcomp>)
        1    0.000    0.000    0.000    0.000 random.py:648(SystemRandom)
        4    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2964(__init__)
        2    0.000    0.000    0.000    0.000 concurrent.py:269(set_result)
        4    0.000    0.000    0.000    0.000 rcsetup.py:341(<listcomp>)
       21    0.000    0.000    0.000    0.000 config.py:718(wrap)
        1    0.000    0.000    0.000    0.000 average.py:218(AverageDarkFilter)
        1    0.000    0.000    0.000    0.000 interpolate.py:2189(RegularGridInterpolator)
        1    0.000    0.000    0.000    0.000 transformfqgrid.py:25(TransformFQgrid)
        2    0.000    0.000    0.000    0.000 {built-in method _sqlite3.register_converter}
        1    0.000    0.000    0.000    0.000 fama_macbeth.py:153(MovingFamaMacBeth)
        1    0.000    0.000    0.000    0.000 ops.py:333(_TimeOp)
        2    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 pytables.py:1470(set_name)
        3    0.000    0.000    0.000    0.000 base.py:650(_dispatch)
        1    0.000    0.000    0.000    0.000 records.py:298(recarray)
        2    0.000    0.000    0.000    0.000 tifffile.py:4907(__getitem__)
        1    0.000    0.000    0.000    0.000 blocking_input.py:126(BlockingMouseInput)
        1    0.000    0.000    0.000    0.000 detectors.py:1450(Mar345)
        2    0.000    0.000    0.000    0.000 utils.py:141(__init__)
        1    0.000    0.000    0.000    0.000 pnmimage.py:56(<listcomp>)
        5    0.000    0.000    0.000    0.000 iterative.py:70(set_docstring)
        1    0.000    0.000    0.000    0.000 collections.py:1704(TriMesh)
        1    0.000    0.000    0.000    0.000 transports.py:10(BaseTransport)
        1    0.000    0.000    0.000    0.000 test_dataset_getitem.py:160(TestScalarCompound)
        5    0.000    0.000    0.000    0.000 constructor.py:151(add_multi_constructor)
        9    0.000    0.000    0.000    0.000 _version.py:54(register_vcs_handler)
        4    0.000    0.000    0.000    0.000 rcsetup.py:639(validate_sketch)
        3    0.000    0.000    0.000    0.000 __init__.py:20(_separator)
       31    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:170(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
        1    0.000    0.000    0.000    0.000 retry.py:144(__init__)
        2    0.000    0.000    0.000    0.000 cpuinfo.py:88(_try_call)
        1    0.000    0.000    0.000    0.000 doct.py:34(Document)
        1    0.000    0.000    0.000    0.000 interpolate.py:1760(NdPPoly)
       10    0.000    0.000    0.000    0.000 scanner.py:309(remove_possible_simple_key)
       14    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 dtypes.py:8(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 tiff_stack.py:53(TiffStack_tifffile)
        4    0.000    0.000    0.000    0.000 _pslinux.py:212(get_procfs_path)
        1    0.000    0.000    0.000    0.000 :1(HeaderAttributes)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 peak_picker.py:1093(PointGroup)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2854(__init__)
        1    0.000    0.000    0.000    0.000 edfimage.py:116(Frame)
       11    0.000    0.000    0.000    0.000 _color_data.py:34(<genexpr>)
       42    0.000    0.000    0.000    0.000 tifffile.py:1188(__init__)
       22    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 backend_tools.py:798(ToolPan)
        1    0.000    0.000    0.000    0.000 transforms.py:1655(AffineBase)
        1    0.000    0.000    0.000    0.000 case.py:1329(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 request.py:10(RequestMethods)
        1    0.000    0.000    0.000    0.000 test_dataset.py:818(TestFloats)
        1    0.000    0.000    0.000    0.000 __init__.py:43(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:801(__repr__)
        1    0.000    0.000    0.000    0.000 mar345image.py:61(Mar345Image)
        1    0.000    0.000    0.000    0.000 test_dataset.py:654(TestStrings)
        1    0.000    0.000    0.000    0.000 machines.py:263(_calculate_state_name)
        1    0.000    0.000    0.000    0.000 cpuinfo.py:549(SunOSCPUInfo)
        1    0.000    0.000    0.000    0.000 cine.py:188(<listcomp>)
        3    0.000    0.000    0.000    0.000 event_streams.py:1192(update)
        1    0.000    0.000    0.000    0.000 _core.py:544(Images)
        1    0.000    0.000    0.000    0.000 utils.py:306(LRUCache)
        9    0.000    0.000    0.000    0.000 _version.py:55(decorate)
        1    0.000    0.000    0.000    0.000 inspect.py:2505(BoundArguments)
        1    0.000    0.000    0.000    0.000 merge.py:1050(_AsOfMerge)
        1    0.000    0.000    0.000    0.000 timeout.py:18(Timeout)
        1    0.000    0.000    0.000    0.000 format.py:2532(EngFormatter)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.000    0.000 axis.py:1701(XAxis)
        1    0.000    0.000    0.000    0.000 pytables.py:232(FilterBinOp)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4100(Forward)
        1    0.000    0.000    0.000    0.000 csr.py:23(csr_matrix)
        1    0.000    0.000    0.000    0.000 afm.py:342(AFM)
        1    0.000    0.000    0.000    0.000 slicerator.py:26(Slicerator)
        1    0.000    0.000    0.000    0.000 _internal.py:200(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 speimage.py:57(SpeImage)
        7    0.000    0.000    0.000    0.000 _format.py:104(_checks_drafts)
        1    0.000    0.000    0.000    0.000 dis.py:106(_get_code_object)
        2    0.000    0.000    0.000    0.000 six.py:805(metaclass)
        1    0.000    0.000    0.000    0.000 transforms.py:59(TransformNode)
        2    0.000    0.000    0.000    0.000 manage_plugins.py:54(_clear_plugins)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 stata.py:1834(StataWriter)
        1    0.000    0.000    0.000    0.000 plotting.py:1674(LinePlot)
        1    0.000    0.000    0.000    0.000 dtypes.py:98(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 parser.py:232(parserinfo)
        2    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _ode.py:632(IntegratorBase)
       10    0.000    0.000    0.000    0.000 transformation.py:147(checkConfig)
